Category,Field
RESERVOIR SIMULATION RESULTS,Initial Production Temperature
RESERVOIR SIMULATION RESULTS,Average Reservoir Heat Extraction
RESERVOIR SIMULATION RESULTS,Production Wellbore Heat Transmission Model
RESERVOIR SIMULATION RESULTS,Average Production Well Temperature Drop
RESERVOIR SIMULATION RESULTS,Average Injection Well Pump Pressure Drop
RESERVOIR SIMULATION RESULTS,Average Production Well Pump Pressure Drop
RESERVOIR SIMULATION RESULTS,Average Production Pressure
RESERVOIR SIMULATION RESULTS,Average Heat Production
RESERVOIR SIMULATION RESULTS,First Year Heat Production
RESERVOIR SIMULATION RESULTS,Average Net Electricity Production
RESERVOIR SIMULATION RESULTS,First Year Electricity Production
RESERVOIR SIMULATION RESULTS,Maximum Storage Well Temperature
RESERVOIR SIMULATION RESULTS,Average Storage Well Temperature
RESERVOIR SIMULATION RESULTS,Minimum Storage Well Temperature
RESERVOIR SIMULATION RESULTS,Maximum Balance Well Temperature
RESERVOIR SIMULATION RESULTS,Average Balance Well Temperature
RESERVOIR SIMULATION RESULTS,Minimum Balance Well Temperature
RESERVOIR SIMULATION RESULTS,Maximum Annual Heat Stored
RESERVOIR SIMULATION RESULTS,Average Annual Heat Stored
RESERVOIR SIMULATION RESULTS,Minimum Annual Heat Stored
RESERVOIR SIMULATION RESULTS,Maximum Annual Heat Supplied
RESERVOIR SIMULATION RESULTS,Average Annual Heat Supplied
RESERVOIR SIMULATION RESULTS,Minimum Annual Heat Supplied
RESERVOIR SIMULATION RESULTS,Average Round-Trip Efficiency
RESERVOIR SIMULATION RESULTS,Total Average Pressure Drop
CAPITAL COSTS (M$),Drilling and completion costs
CAPITAL COSTS (M$),Drilling and completion costs per well
CAPITAL COSTS (M$),Stimulation costs
CAPITAL COSTS (M$),Surface power plant costs
CAPITAL COSTS (M$),District Heating System Cost
CAPITAL COSTS (M$),Field gathering system costs
CAPITAL COSTS (M$),Total surface equipment costs
CAPITAL COSTS (M$),Exploration costs
CAPITAL COSTS (M$),Total capital costs
CAPITAL COSTS (M$),Total CAPEX
CAPITAL COSTS (M$),Drilling Cost
CAPITAL COSTS (M$),Drilling and Completion Costs
CAPITAL COSTS (M$),Drilling and Completion Costs per Well
CAPITAL COSTS (M$),Auxiliary Heater Cost
CAPITAL COSTS (M$),Pump Cost
CAPITAL COSTS (M$),Total Capital Costs
OPERATING AND MAINTENANCE COSTS (M$/yr),Wellfield maintenance costs
OPERATING AND MAINTENANCE COSTS (M$/yr),Power plant maintenance costs
OPERATING AND MAINTENANCE COSTS (M$/yr),Water costs
OPERATING AND MAINTENANCE COSTS (M$/yr),Average Reservoir Pumping Cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Absorption Chiller O&M Cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Average Heat Pump Electricity Cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Annual District Heating O&M Cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Average Annual Peaking Fuel Cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Average annual pumping costs
OPERATING AND MAINTENANCE COSTS (M$/yr),Total operating and maintenance costs
OPERATING AND MAINTENANCE COSTS (M$/yr),OPEX
OPERATING AND MAINTENANCE COSTS (M$/yr),Average annual auxiliary fuel cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Average annual pumping cost
OPERATING AND MAINTENANCE COSTS (M$/yr),Total average annual O&M costs
SURFACE EQUIPMENT SIMULATION RESULTS,Initial geofluid availability
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Total Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Average Total Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Total Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Initial Total Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Net Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Average Net Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Net Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Initial Net Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Total Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Net Electricity Generation
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Net Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Net Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Net Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Initial Net Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Pumping Power
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Heat Pump Electricity Use
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Cooling Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Cooling Production
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Cooling Production
SURFACE EQUIPMENT SIMULATION RESULTS,Initial Cooling Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Cooling Production
SURFACE EQUIPMENT SIMULATION RESULTS,Annual District Heating Demand
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Daily District Heating Demand
SURFACE EQUIPMENT SIMULATION RESULTS,Average Daily District Heating Demand
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Daily District Heating Demand
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Geothermal Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Geothermal Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Geothermal Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Maximum Peaking Boiler Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Peaking Boiler Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Minimum Peaking Boiler Heat Production
SURFACE EQUIPMENT SIMULATION RESULTS,Surface Plant Cost
SURFACE EQUIPMENT SIMULATION RESULTS,Average RTES Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Auxiliary Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual RTES Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Auxiliary Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Total Heating Production
SURFACE EQUIPMENT SIMULATION RESULTS,Average Annual Electricity Use for Pumping
